,Year,Lockheed Martin (Billion USD),General Dynamics (Billion USD)
0,1994,22.9,3.2
1,1995,22.8,3.1
2,1996,26.8,3.1
3,1997,28.0,3.6
4,1998,26.0,7.4
5,1999,25.0,8.9
6,2000,24.5,10.4
7,2001,24.0,12.0
8,2002,26.5,13.7
9,2003,31.8,16.4
10,2004,35.5,19.2
11,2005,37.7,21.0
12,2006,39.6,24.1
13,2007,41.9,27.2
14,2008,42.7,29.3
15,2009,45.2,32.0
16,2010,45.7,32.5
17,2011,46.5,32.7
18,2012,47.2,31.5
19,2013,45.3,30.9
20,2014,45.6,30.8
21,2015,46.1,31.8
22,2016,47.2,30.6
23,2017,50.0,31.0
24,2018,53.8,36.2
25,2019,59.8,39.3
26,2020,65.4,38.0
27,2021,67.1,38.5
28,2022,66.0,39.4
29,2023,67.6,42.3
